Host	Parasite	Reference	Is Prevalence Reported?	Is Prevalence Zero?
Antidorcas marsupialis	Paracooperia serrata	De Villiers, I. L., R. Liversidge, et al. (1985). "Arthropods and Helminths in Springbok Antidorcas-Marsupialis at Benfontein Kimberley South Africa." Onderstepoort Journal of Veterinary Research 52(1): 1-12.	yes	no
Tragelaphus strepsiceros	Cooperia rotundispiculum	Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141	yes	no
Tragelaphus scriptus	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Damaliscus lunatus	Cooperia yoshidai	Reinecke, R. K., R. C. Krecek, et al. (1988). "Helminth Parasites from Tsessebes at Nylsvley Nature Reserve Transvaal South Africa." South African Journal of Wildlife Research 18(3): 73-77.	yes	no
Tragelaphus angasii	Cooperia hungi	Boomker, J., Booyse, D. G., Watermeyer, R., De Villiers, I. L., Horak, I. G., and J. R. B. Flamand (1996) Parasites of South African wildlife. XIV. Helminths of nyalas (Tragelaphus angasii) in the Mkuzi Game Reserve, KwaZulu-Natal. Onderstepoort Journal of Veterinary Research, 63: 265-271.	yes	no
Taurotragus oryx	Cooperia rotundispiculum	Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41	yes	no
Ourebia ourebi	Cooperia yoshidai	Boomker, J., Keep, M. E., Flamand, J. R. and I. G. Horak (1984) The helminths of various antelope species from Natal. Onderstepoort Journal of Veterinary Research, 51: 253-256	yes	no
Neotragus moschatus	Cooperia	Boomker, J., Booyse, D.G., Braack, L.E.O. (1991) Parasites of South African wildlife: VII. Helminths of Suni, Neotragus moschatus, in Natal. Onderstepoort Journal of Veterinary Research, 58 (1) 15-16	yes	no
Odocoileus hemionus	Cooperia oncophora	Dubey, J. P. and T. P. Kistner (1985a). "Epizootiology of Sarcocystis Infections in Mule Deer Odocoileus hemionus Fawns in Oregon." Journal of the American Veterinary Medical Association 187(11): 1181-1186.	yes	no
Aepyceros melampus	Cooperia	Boomker, J, Horak, I G, Flamand, J R B, and Keep, M E (1989) Parasites of South African wildlife: III. Helminths of common reedbuck, Redunca arundinum, in Natal. Onderstepoort Journal of Veterinary Research, 56: 51-57	yes	no
Phacochoerus aethiopicus	Cooperia hungi	Boomker, J., I. G. Horak, et al. (1991). "Parasites of South African Wildlife Viii. Helminth and Arthropod Parasites of Warthogs Phacochoerus aethiopicus in the Eastern Transvaal." Onderstepoort Journal of Veterinary Research 58(3): 195-202.	yes	no
Neotragus moschatus	Cooperia hungi	Boomker, J., Booyse, D.G., Braack, L.E.O. (1991) Parasites of South African wildlife: VII. Helminths of Suni, Neotragus moschatus, in Natal. Onderstepoort Journal of Veterinary Research, 58 (1) 15-16	yes	no
Cephalophus natalensis	Cooperia rotundispiculum	Boomker, J., I. G. Horak, et al. (1991). "Parasites of South African Wildlife X. Helminths of Red Duikers Cephalophus natalensis in Natal." Onderstepoort Journal of Veterinary Research 58(3): 205-210.	yes	no
Tragelaphus strepsiceros	Paracooperia devossi	Boomker, J and S. A. Kingsley (1984) Paracooperia devossi n. sp (Nematoda: Trichostrongylidae) from the bushbuck, Tragelaphus scriptus (Pallas, 1766). Onderstepoort Journal of Veterinary Research, 51: 21-24	yes	no
Tragelaphus angasii	Cooperia rotundispiculum	Boomker, J., Booyse, D. G., Watermeyer, R., De Villiers, I. L., Horak, I. G., and J. R. B. Flamand (1996) Parasites of South African wildlife. XIV. Helminths of nyalas (Tragelaphus angasii) in the Mkuzi Game Reserve, KwaZulu-Natal. Onderstepoort Journal of Veterinary Research, 63: 265-271.	yes	no
Bison bonasus	Cooperia oncophora	Drozdz, J., W. Demiaszkiewicz Aleksander, et al. (1994). "The helminth fauna of free-ranging European bison, Bison bonasus (L.), studied again 8 years after reduction of bisons, in the Bialowieza Forest." Acta Parasitologica 39(2): 88-91.	yes	no
Tragelaphus strepsiceros	Cooperia	Boomker, J., Anthonissen, M., and I. G. Horak (1988) Parasites of South african Wildlife. II. Helminths of kudu, Tragelaphus strepsiceros, from South West Africa/Namibia. Onderstepoort Journal of Veterinary Research, 55: 231-233	yes	no
Tragelaphus strepsiceros	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1989) Parasites of South African wildlife. IV. Helminths of kudu, Tragelaphus strepsiceros, in the Kruger National Park. Onderstepoort Journal of Veterinary Research, 56: 111-121.	yes	no
Tragelaphus scriptus	Cooperia neitzi	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Aepyceros melampus	Cooperia	Ocaido, M., Siefert, L., and J. Baranga (1999) Seasonal changes of impala (Aepyceros melampus, Lichtenstein, 1812) faecal helminth egg counts through a one-year period. African Journal of Ecology, 37: 327-333	no	no
Damaliscus lunatus	Cooperia fuelleborni	Reinecke, R. K., R. C. Krecek, et al. (1988). "Helminth Parasites from Tsessebes at Nylsvley Nature Reserve Transvaal South Africa." South African Journal of Wildlife Research 18(3): 73-77.	yes	no
Oryx gazella	Cooperia hungi	Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.	yes	no
