"Date","Period","Status","Treatment","X.","Tsect","Side","Dist","Elephant","Zebra","Giraffe","Hare","Cow","Buffalo","Impala","Rhino","Gazelle","Eland","Warthog","Eegg","Emult","Begg","Bmult","Cegg","Cmult","Zegg","Zmult","Iegg","Imult","Gegg","Gmult","Gagg","Gamult","Elegg","Elmult","all"
"9/21/2016",0,"Pre","CONT","Jericho","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,352.899217072167,0,0,0,0,352.899217072167
"9/21/2016",0,"Pre","CONT","Jericho","A",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,90,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0,0,0,140.283045829943,2222.08344594629,0,0,0,0,0,0,2222.08344594629
"9/21/2016",0,"Pre","CONT","Jericho","A",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,120,512,0,0,2,0,0,0,0,0,0,0,536.364269153717,274618.505806703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274618.505806703
"9/21/2016",0,"Pre","CONT","Jericho","A",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","A",0,140,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,12128.8949465219,0,0,0,0,0,0,0,0,12128.8949465219
"9/21/2016",0,"Pre","CONT","Jericho","A",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","B",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","B",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","B",0,20,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,24257.7898930438,0,0,0,0,0,0,0,0,24257.7898930438
"9/21/2016",0,"Pre","CONT","Jericho","B",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","B",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
