"Predictor","MCMC Prevalence","eff.samp.prev","TMB Prevalence","MCMC Richness","eff.samp.rich","TMB Richness"
"(Intercept)","0.651 (0.732)",1960,"0.296, 1.162","2.826 (0.001)",1960,"2.87, 0.214"
"(Intercept)","-3.001, 4.477",1960,"0.255 (0.799)","2.04, 3.634",1960,"13.414 (0)"
"log(BM_KG)","-0.068 (0.805)",1960,"-0.133, 0.212","-0.009 (0.85)",1960,"-0.011, 0.038"
"log(BM_KG)","-0.67, 0.607",1960,"-0.625 (0.532)","-0.105, 0.098",1960,"-0.297 (0.766)"
"GS","0.121 (0.179)",1960,"0.1, 0.059","0.005 (0.711)",1960,"0.005, 0.011"
"GS","-0.078, 0.303",1960,"1.699 (0.089)","-0.02, 0.032",1960,"0.456 (0.648)"
"GUTHG","1.23 (0.43)",1960,"1.95, 0.751","-0.041 (0.885)",2354.143,"-0.053, 0.13"
"GUTHG","-1.984, 4.23",1960,"2.598 (0.009)","-0.552, 0.469",2354.143,"-0.407 (0.684)"
"UNDERSTORY_PROP","0.272 (0.7)",1960,"0.129, 0.549","0.088 (0.516)",1960,"0.152, 0.081"
"UNDERSTORY_PROP","-1.104, 1.565",1960,"0.236 (0.814)","-0.165, 0.339",1960,"1.871 (0.061)"
"phylo","7.983",878.383,"","0.103",1960,""
"phylo","0, 25.057",878.383,"","0.002, 0.32",1960,""
"MSW93_Binomial","1.87",1106.206,"","0.038",1960,""
"MSW93_Binomial","0, 6.162",1106.206,"1.1","0.002, 0.103",1960,"1.1"
"Period","1.07",1960,"","0.015",1960,""
"Period","0, 3.475",1960,"0","0.002, 0.044",1960,"0"
