"Species","MSW93_Binomial","Prevalence","Prev_N","Richness","Rich_N"
"Buffalo","Syncerus_caffer",0.259259259259259,54,17.7333333333333,15
"Camel","Camelus_dromedarius",0.9,10,19,8
"Cattle","Bos_taurus",0.571428571428571,49,11.7083333333333,24
"DikDik","Madoqua_kirkii",0.62,50,19.5714285714286,21
"Donkey","Equus_asinus",0.857142857142857,14,16.7272727272727,11
"Eland","Taurotragus_oryx",0.625,32,15.4375,16
"Elephant","Loxodonta_africana",0.975609756097561,41,19.9411764705882,34
"Giraffe","Giraffa_camelopardalis",0.421052631578947,38,22.3333333333333,15
"Grants gazelle","Gazella_granti",0.9,30,25.0869565217391,23
"Grevys zebra","Equus_grevyi",0.939393939393939,33,23.125,24
"Hartebeest","Alcelaphus_buselaphus",0.821428571428571,28,20.3529411764706,17
"Hippo","Hippopotamus_amphibius",0.588235294117647,17,15.3333333333333,9
"Impala","Aepyceros_melampus",0.829268292682927,41,21.8571428571429,21
"Kudu","Tragelaphus_strepsiceros",0.166666666666667,12,19.6666666666667,3
"Oryx","Oryx_gazella",1,13,17.2222222222222,9
"Plains zebra","Equus_burchellii",0.942857142857143,35,24.8571428571429,21
"Warthog","Phacochoerus_africanus",0.590909090909091,22,11.1,10
