"Species","Prevalence","Prev_N","Richness","Rich_N"
"Buffalo",0.259259259259259,54,4.26666666666667,15
"Camel",0.9,10,8.625,8
"Cattle",0.571428571428571,49,4.70833333333333,24
"DikDik",0.62,50,6.95238095238095,21
"Donkey",0.857142857142857,14,6.81818181818182,11
"Eland",0.625,32,4.9375,16
"Elephant",0.975609756097561,41,9.55882352941176,34
"Giraffe",0.421052631578947,38,8.26666666666667,15
"Grants gazelle",0.9,30,10.4782608695652,23
"Grevys zebra",0.939393939393939,33,9.33333333333333,24
"Hartebeest",0.821428571428571,28,7.41176470588235,17
"Hippo",0.611111111111111,18,4,9
"Impala",0.829268292682927,41,8.80952380952381,21
"Kudu",0.166666666666667,12,5.33333333333333,3
"Oryx",1,13,8.44444444444444,9
"Plains zebra",0.942857142857143,35,9.71428571428571,21
"Warthog",0.590909090909091,22,3.9,10
