"Species","pd.obs","pd.obs.z"
"Buffalo",0.299845576271645,-1.90453144796615
"Camel",0.643134751710573,-1.32938990347927
"Cattle",0.390060155381684,-0.417399891998449
"DikDik",0.651799698396314,-1.12285260016612
"Donkey",0.314109184652062,-2.56918403581286
"Eland",0.322658657552383,-1.01049884674891
"Elephant",0.595546109347647,-2.07103992072861
"Giraffe",0.745075187299287,-0.814312139867581
"Grants gazelle",0.651150567948079,-2.0986735056974
"Grevys zebra",0.433414697200167,-3.04440218840796
"Hartebeest",0.627910612094038,-1.45433297246916
"Hippo",0.56295586939647,-0.988282864444938
"Impala",0.563606664255548,-2.4444860770876
"Kudu",0.383398763547813,-1.14779829033148
"Oryx",0.597932957739521,-2.04345713581486
"Plains zebra",0.44872398091165,-3.07788925150969
"Warthog",0.356258431854,0.215721607320377
