"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"MSW93_Order" 2 1.078 0.191 1.903 0.007
"GUT" 1 0.552 0.098 1.948 0.018
"log(BM_KG)" 1 0.197 0.035 0.694 0.776
"GS" 1 0.114 0.02 0.402 0.983
"UNDERSTORY_SP_MEAN" 1 0.34 0.06 1.201 0.257
"Residual" 9 2.549 0.453 NA NA
"Total" 15 5.63 1 NA NA
"MSW93_Order1" 2 0.096 0.035 0.446 0.916
"GUT1" 1 0.353 0.128 3.28 0.02
"log(BM_KG)1" 1 0.048 0.018 0.449 0.771
"GS1" 1 0.078 0.028 0.728 0.587
"UNDERSTORY_SP_MEAN1" 1 0.03 0.011 0.275 0.928
"Residual1" 9 0.968 0.352 NA NA
"Total1" 15 2.752 1 NA NA
