"Metric","Predictor","Value"
"Degree","(Intercept)","15  +/-  0"
"Degree","(Intercept)","10531829258014500 (0)"
"Eigenvector","(Intercept)","0.66  +/-  0.237"
"Eigenvector","(Intercept)","2.788 (0.015)"
"Eigenvector","GUTHG","-0.521  +/-  0.228"
"Eigenvector","GUTHG","-2.283 (0.04)"
"Betweenness","(Intercept)","4.857  +/-  18.188"
"Betweenness","(Intercept)","0.267 (0.793)"
"Closeness","(Intercept)","0.154  +/-  0.028"
"Closeness","(Intercept)","5.588 (0)"
"Closeness","GUTHG","-0.07  +/-  0.027"
"Closeness","GUTHG","-2.639 (0.02)"
