"Metric","Predictor","Value"
"Degree","(Intercept)","15  +/-  0"
"Degree","(Intercept)","10531829258014500 (0)"
"Eigenvector","(Intercept)","0.659  +/-  0.237"
"Eigenvector","(Intercept)","2.779 (0.016)"
"Eigenvector","GUTHG","-0.52  +/-  0.228"
"Eigenvector","GUTHG","-2.277 (0.04)"
"Betweenness","(Intercept)","4.938  +/-  17.255"
"Betweenness","(Intercept)","0.286 (0.779)"
"Closeness","(Intercept)","0.147  +/-  0.026"
"Closeness","(Intercept)","5.606 (0)"
"Closeness","GUTHG","-0.067  +/-  0.025"
"Closeness","GUTHG","-2.658 (0.02)"
