"Predictor","MCMC Prevalence","eff.samp.prev","TMB Prevalence","MCMC Richness","eff.samp.rich","TMB Richness"
"(Intercept)","0.585 (0.762)",1781.417,"0.318, 1.187","2.058 (0.002)",1960,"2.04, 0.292"
"(Intercept)","-3.218, 4.258",1781.417,"0.268 (0.789)","0.945, 3.303",1960,"6.98 (0)"
"log(BM_KG)","-0.057 (0.815)",1960,"-0.113, 0.213","-0.038 (0.572)",1960,"-0.039, 0.052"
"log(BM_KG)","-0.627, 0.57",1960,"-0.531 (0.596)","-0.178, 0.102",1960,"-0.752 (0.452)"
"GS","0.119 (0.159)",1815.727,"0.102, 0.06","0.01 (0.548)",1960,"0.012, 0.015"
"GS","-0.06, 0.288",1815.727,"1.697 (0.09)","-0.025, 0.043",1960,"0.81 (0.418)"
"GUTHG","1.336 (0.363)",1960,"2.013, 0.767","0.099 (0.771)",1960,"0.204, 0.178"
"GUTHG","-1.983, 4.189",1960,"2.625 (0.009)","-0.705, 0.88",1960,"1.148 (0.251)"
"UNDERSTORY_PROP","0.101 (0.873)",1724.835,"-0.028, 0.564","-0.018 (0.899)",1960,"-0.082, 0.121"
"UNDERSTORY_PROP","-1.187, 1.527",1724.835,"-0.05 (0.96)","-0.275, 0.234",1960,"-0.679 (0.497)"
"phylo","7.732",868.618,"","0.285",1960,""
"phylo","0, 22.725",868.618,"","0.004, 0.79",1960,""
"MSW93_Binomial","1.804",1165.699,"","0.062",2094.67,""
"MSW93_Binomial","0, 5.795",1165.699,"1.14","0.002, 0.176",2094.67,"1.14"
"Period","1.051",1742.453,"","0.013",1960,""
"Period","0, 3.926",1742.453,"0.07","0.002, 0.038",1960,"0.07"
