1	Buffalo	V1	1	21	0.5887344363	1
2	Bushbuck	V1	2	21	0.0370544090	2
3	Camel	V1	3	21	0.0274390244	3
4	Cow	V1	4	21	0.0046051509	4
5	Dik-dik	V1	5	21	0.0654315197	5
6	Eland	V1	6	21	0.0059596071	7
7	Elephant	V1	7	21	0.0040730585	8
8	Giraffe	V1	8	21	0.1927454659	9
9	Grants Gazelle	V1	9	21	0.0123990538	10
10	Grevys zebra	V1	10	21	0.0061803333	11
11	Hartebeest	V1	11	21	0.2116948093	12
12	Hippo	V1	12	21	0.0133416719	13
13	Hybrid zebra	V1	13	21	0.2485928705	14
14	Impala	V1	14	21	0.3717894805	15
15	Kudu	V1	15	21	0.0604283927	16
16	Oryx	V1	16	21	0.2574525745	17
17	Plains zebra	V1	17	21	0.0096396455	18
18	Waterbuck	V1	18	21	0.2776735460	96
19	Buffalo	V2	1	22	0.0071635681	95
20	Bushbuck	V2	2	22	0.1139774859	6
21	Dik-dik	V2	5	22	0.0356472795	19
22	Elephant	V2	7	22	0.0006253909	32
23	Giraffe	V2	8	22	0.0082551595	45
24	Grevys zebra	V2	10	22	0.0027590774	56
25	Impala	V2	14	22	0.0123245132	66
26	Kudu	V2	15	22	0.0193089431	75
27	Plains zebra	V2	17	22	0.0071650385	81
28	Warthog	V2	19	22	0.5165262864	87
29	Buffalo	V3	1	23	0.0110864745	91
30	Bushbuck	V3	2	23	0.1880863039	20
31	Dik-dik	V3	5	23	0.0441682301	21
32	Elephant	V3	7	23	0.1076474078	22
33	Giraffe	V3	8	23	0.0266416510	23
34	Hippo	V3	12	23	0.0129247446	25
35	Impala	V3	14	23	0.0102542537	26
36	Kudu	V3	15	23	0.0269699812	27
37	Plains zebra	V3	17	23	0.0022643463	28
38	Warthog	V3	19	23	0.4321184783	30
39	Waterbuck	V3	18	23	0.0544090056	31
40	Buffalo	V4	1	24	0.0101057479	33
41	Bushbuck	V4	2	24	0.0173545966	35
42	Camel	V4	3	24	0.0126641651	36
43	Dik-dik	V4	5	24	0.0032051282	37
44	Eland	V4	6	24	0.0045248869	38
45	Elephant	V4	7	24	0.3527044146	39
46	Grants Gazelle	V4	9	24	0.0065258178	40
47	Grevys zebra	V4	10	24	0.0017106280	42
48	Hartebeest	V4	11	24	0.0051594747	43
49	Impala	V4	14	24	0.0104968623	44
50	Oryx	V4	16	24	0.0241817803	46
51	Plains zebra	V4	17	24	0.0063563434	47
52	Waterbuck	V4	18	24	0.0853658537	48
53	Buffalo	V5	1	25	0.0261384957	49
