Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Aepyceros melampus,Strongylida,"Agriostomum gorgonis Le Roux, 1929",Ancyclostomatidae,Agriostomum,Agriostomum gorgonis,,2,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Agriostomum heterochrous Rudolphi, 1802",Ancyclostomatidae,Agriostomum,Agriostomum heterochrous,,1,South Africa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Agriostomum cursoni,Ancyclostomatidae,Agriostomum,Agriostomum cursoni,,3,South Africa,"Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74",Monnig (1933a),Ortlepp (1961a),,,,,,,,,,
Bos taurus,Strongylida,"Agriostomum vryburgi (Railliet, 1902)",Ancyclostomatidae,Agriostomum,Agriostomum vryburgi,,5,,,,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Agriostomum gorgonis,Ancyclostomatidae,Agriostomum,Agriostomum gorgonis,,1,Uganda,Mettam (1932),,,,,,,,,,,,
Oryx gazella,Strongylida,Agriostomum equidentatum,Ancyclostomatidae,Agriostomum,Agriostomum equidentatum,,2,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.","Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,
Oryx gazella,Strongylida,Agriostomum gorgonis,Ancyclostomatidae,Agriostomum,Agriostomum gorgonis,,1,South Africa,Ortlepp (1961a),,,,,,,,,,,,
Syncerus caffer,Strongylida,"Agriostomum gorgonis Le Roux, 1929",Ancyclostomatidae,Agriostomum,Agriostomum gorgonis,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Equus asinus,Strongylida,"Alfortia edentatus (Looss, 1900)",Strongylidae,Strongylus,Strongylus edentatus,Alfortia edentatus,2,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Bunostomum phlebotomum (Railliet, 1900)",Ancyclostomatidae,Bunostomum,Bunostomum phlebotomum,,30,,,,,,,,,,,,,,
