Location1,Location2,both_locs,Distance
Hwange,Gorongosa,Hwange_Gorongosa,818
Hwange,Mpala,Hwange_Mpala,2417
Hwange,Serengeti,Hwange_Serengeti,2062
Hwange,Nyika,Hwange_Nyika,1184
Hwange,Niassa,Hwange_Niassa,1301
Hwange,Kafue,Hwange_Kafue,508
Hwange,Kruger,Hwange_Kruger,738
Hwange,Hluhluwe,Hwange_Hluhluwe,1139
Gorongosa,Mpala,Gorongosa_Mpala,2128
Gorongosa,Serengeti,Gorongosa_Serengeti,1827
Gorongosa,Nyika,Gorongosa_Nyika,886
Gorongosa,Niassa,Gorongosa_Niassa,767
Gorongosa,Kafue,Gorongosa_Kafue,1003
Gorongosa,Kruger,Gorongosa_Kruger,660
Gorongosa,Hluhluwe,Gorongosa_Hluhluwe,1072
Mpala,Serengeti,Mpala_Serengeti,369
Mpala,Nyika,Mpala_Nyika,1295
Mpala,Niassa,Mpala_Niassa,1391
Mpala,Kafue,Mpala_Kafue,2032
Mpala,Kruger,Mpala_Kruger,2771
Mpala,Hluhluwe,Mpala_Hluhluwe,3209
Serengeti,Nyika,Serengeti_Nyika,959
Serengeti,Niassa,Serengeti_Niassa,1118
Serengeti,Kafue,Serengeti_Kafue,1658
Serengeti,Kruger,Serengeti_Kruger,2438
Serengeti,Hluhluwe,Serengeti_Hluhluwe,2895
Nyika,Niassa,Nyika_Niassa,351
Nyika,Kafue,Nyika_Kafue,916
Nyika,Kruger,Nyika_Kruger,1484
Nyika,Hluhluwe,Nyika_Hluhluwe,1934
Niassa,Kafue,Niassa_Kafue,1145
Niassa,Kruger,Niassa_Kruger,1420
Niassa,Hluhluwe,Niassa_Hluhluwe,1839
Kafue,Kruger,Kafue_Kruger,1188
Kafue,Hluhluwe,Kafue_Hluhluwe,1627
Kruger,Hluhluwe,Kruger_Hluhluwe,466
Mpala,Mpala,Mpala_Mpala,0
Kruger,Kruger,Kruger_Kruger,0
Serengeti,Serengeti,Serengeti_Serengeti,0
Hwange,Hwange,Hwange_Hwange,0
Hluhluwe,Hluhluwe,Hluhluwe_Hluhluwe,0
Niassa,Niassa,Niassa_Niassa,0
Nyika,Nyika,Nyika_Nyika,0
Gorongosa,Gorongosa,Gorongosa_Gorongosa,0
Kafue,Kafue,Kafue_Kafue,0
Gorongosa,Hwange,Gorongosa_Hwange,818
Mpala,Hwange,Mpala_Hwange,2417
Serengeti,Hwange,Serengeti_Hwange,2062
Nyika,Hwange,Nyika_Hwange,1184
Niassa,Hwange,Niassa_Hwange,1301
Kafue,Hwange,Kafue_Hwange,508
Kruger,Hwange,Kruger_Hwange,738
Hluhluwe,Hwange,Hluhluwe_Hwange,1139
Mpala,Gorongosa,Mpala_Gorongosa,2128
Serengeti,Gorongosa,Serengeti_Gorongosa,1827
Nyika,Gorongosa,Nyika_Gorongosa,886
Niassa,Gorongosa,Niassa_Gorongosa,767
Kafue,Gorongosa,Kafue_Gorongosa,1003
Kruger,Gorongosa,Kruger_Gorongosa,660
Hluhluwe,Gorongosa,Hluhluwe_Gorongosa,1072
Serengeti,Mpala,Serengeti_Mpala,369
Nyika,Mpala,Nyika_Mpala,1295
Niassa,Mpala,Niassa_Mpala,1391
Kafue,Mpala,Kafue_Mpala,2032
Kruger,Mpala,Kruger_Mpala,2771
Hluhluwe,Mpala,Hluhluwe_Mpala,3209
Nyika,Serengeti,Nyika_Serengeti,959
Niassa,Serengeti,Niassa_Serengeti,1118
Kafue,Serengeti,Kafue_Serengeti,1658
Kruger,Serengeti,Kruger_Serengeti,2438
Hluhluwe,Serengeti,Hluhluwe_Serengeti,2895
Niassa,Nyika,Niassa_Nyika,351
Kafue,Nyika,Kafue_Nyika,916
Kruger,Nyika,Kruger_Nyika,1484
Hluhluwe,Nyika,Hluhluwe_Nyika,1934
Kafue,Niassa,Kafue_Niassa,1145
Kruger,Niassa,Kruger_Niassa,1420
Hluhluwe,Niassa,Hluhluwe_Niassa,1839
Kruger,Kafue,Kruger_Kafue,1188
Hluhluwe,Kafue,Hluhluwe_Kafue,1627
Hluhluwe,Kruger,Hluhluwe_Kruger,466
