Location,Year,Species,Number
HIP,17,,2
HIP,17,,7
HIP,17,,9
HIP,17,,10
HIP,17,,13
HIP,17,,14
HIP,17,,17
HIP,17,,19
HIP,17,,28
HIP,17,,30
HIP,17,,32
HIP,17,,34
HIP,17,,35
HIP,17,,36
HIP,17,,44
HIP,17,,52
HIP,17,,53
HIP,17,,54
HIP,17,,55
HIP,17,,58
HIP,17,,59
HIP,17,,60
HIP,17,,74
HIP,17,,80
HIP,17,,93
HIP,17,,94
HIP,17,,97
HIP,17,,98
HIP,17,,101
HIP,17,,102
HIP,17,,103
HIP,17,,109
HIP,17,,110
HIP,17,,112
HIP,17,,113
HIP,17,,114
HIP,17,,115
HIP,17,,121
HIP,17,,126
HIP,17,,132
HIP,17,,133
HWA,16,,1
HWA,16,,3
HWA,16,,5
HWA,16,,8
HWA,16,,9
HWA,16,,13
HWA,16,,14
HWA,16,,15
HWA,16,,16
HWA,16,,19
HWA,16,,20
HWA,16,,21
HWA,16,,25
HWA,16,,27
HWA,16,,28
HWA,16,,29
HWA,16,,30
HWA,16,,31
HWA,16,,38
HWA,16,,39
HWA,17,,1
HWA,17,,3
HWA,17,,11
KAF,17,,7
KAF,17,,11
KAF,17,,25
KAF,17,,27
KAF,17,,36
KAF,17,,43
KAF,17,,45
KAF,17,,61
KAF,17,,63
KAF,17,,65
KAF,17,,74
KAF,17,,76
KAF,17,,77
KAF,17,,86
KAF,17,,100
KAF,17,,102
KAF,17,,105
KAF,17,,115
KAF,17,,116
KAF,17,,117
KAF,17,,122
KAF,17,,128
KAF,17,,131
KAF,17,,134
KAF,17,,136
KAF,17,,137
KAF,17,,138
KAF,17,,139
KAF,17,,141
KAF,17,,142
KAF,17,,143
KAF,17,,144
KAF,17,,148
KAF,17,,150
KAF,17,,155
KAF,17,,157
KAF,17,,177
KAF,17,,188
KAF,17,,195
KNP,16,,1
KNP,16,,2
KNP,16,,3
KNP,16,,6
KNP,17,,1
KNP,17,,2
KNP,17,,3
KNP,17,,4
KNP,17,,5
KNP,17,,8
KNP,17,,9
KNP,17,,11
KNP,17,,33
KNP,17,,34
KNP,17,,36
KNP,17,,37
KNP,17,,38
KNP,17,,39
KNP,17,,40
KNP,17,,43
KNP,17,,44
KNP,17,,50
KNP,17,,51
